,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
404,30,0.3,0.5,613,0,0,0.029189109802246094
405,30,0.3,0.5,584,0,0,0.03858685493469238
406,30,0.3,0.5,1,0,0,0.005314350128173828
407,30,0.3,0.5,546,0,0,0.028238296508789062
408,30,0.3,0.5,385,59,1,0.030278444290161133
409,30,0.3,0.5,375,63,1,0.013947248458862305
410,30,0.3,0.5,618,0,0,0.06493663787841797
411,30,0.3,0.5,316,59,1,0.014668703079223633
412,30,0.3,0.5,375,59,1,0.04433584213256836
413,30,0.3,0.5,238,59,1,0.014642000198364258
414,30,0.3,0.5,162,59,1,0.004575014114379883
415,30,0.3,0.5,486,69,1,0.046529293060302734
416,30,0.3,0.5,3,0,0,0.0
417,30,0.3,0.5,615,0,0,0.029402494430541992
418,30,0.3,0.5,621,0,0,0.05773591995239258
419,30,0.3,0.5,3,0,0,0.0006501674652099609
420,30,0.3,0.5,8,0,0,0.0010693073272705078
421,30,0.3,0.5,82,0,0,0.0010466575622558594
422,30,0.3,0.5,584,0,0,0.027904510498046875
423,30,0.3,0.5,3,0,0,0.0
424,30,0.3,0.5,340,59,1,0.01470637321472168
425,30,0.3,0.5,294,67,1,0.008379220962524414
426,30,0.3,0.5,282,59,1,0.010036945343017578
427,30,0.3,0.5,279,59,1,0.009933233261108398
428,30,0.3,0.5,5,0,0,0.0
429,30,0.3,0.5,406,61,1,0.019988298416137695
430,30,0.3,0.5,216,59,1,0.007390022277832031
431,30,0.3,0.5,327,59,1,0.014714956283569336
432,30,0.3,0.5,601,0,0,0.059154510498046875
433,30,0.3,0.5,457,59,1,0.024379253387451172
434,30,0.3,0.5,1,0,0,0.0
435,30,0.3,0.5,321,59,1,0.014014720916748047
436,30,0.3,0.5,139,59,1,0.0
437,30,0.3,0.5,288,61,1,0.007211923599243164
438,30,0.3,0.5,8,0,0,0.0
439,30,0.3,0.5,639,0,0,0.021297931671142578
440,30,0.3,0.5,464,63,1,0.031383514404296875
441,30,0.3,0.5,216,59,1,0.014018774032592773
442,30,0.3,0.5,6,0,0,0.0
443,30,0.3,0.5,1,0,0,0.0
444,30,0.3,0.5,317,61,1,0.015505313873291016
445,30,0.3,0.5,13,0,0,0.0
446,30,0.3,0.5,36,0,0,0.0
447,30,0.3,0.5,173,61,1,0.0
448,30,0.3,0.5,625,0,0,0.04113411903381348
449,30,0.3,0.5,1,0,0,0.0
450,30,0.3,0.5,4,0,0,0.0
451,30,0.3,0.5,274,59,1,0.01994180679321289
452,30,0.3,0.5,267,61,1,0.015952348709106445
453,30,0.3,0.5,375,59,1,0.014010906219482422
454,30,0.3,0.5,246,59,1,0.0
455,30,0.3,0.5,605,0,0,0.03357243537902832
456,30,0.3,0.5,249,63,1,0.01760387420654297
457,30,0.3,0.5,259,59,1,0.0
